,Fast Gillespie,Gillespie Direct,Anderson Next Reaction,Next Reaction,Rejection,Sorting Direct,
Time 0,1.51529e+06,3.91584e+06,3.61021e+06,3.45697e+06,1.42117e+06,1.9995e+06,
Time 1,3.36625e+06,4.3974e+06,4.0216e+06,3.81371e+06,1.79484e+06,2.4553e+06,
Time 2,3.64407e+06,4.37232e+06,3.94742e+06,3.83258e+06,1.84563e+06,2.4607e+06,
Time 3,3.78802e+06,4.38803e+06,4.07266e+06,3.81331e+06,1.88793e+06,2.53675e+06,
Time 4,3.82598e+06,4.42181e+06,4.06079e+06,4.00044e+06,1.86912e+06,2.54953e+06,
Time 5,3.83008e+06,4.36061e+06,4.04953e+06,3.93729e+06,1.86249e+06,2.56449e+06,
Time 6,3.77109e+06,4.40304e+06,4.12257e+06,3.92595e+06,1.83163e+06,2.59479e+06,
Time 7,3.78734e+06,4.54905e+06,4.07609e+06,3.92666e+06,1.74768e+06,2.55926e+06,
Time 8,3.75183e+06,4.44022e+06,4.04537e+06,3.95719e+06,1.81247e+06,2.53424e+06,
Time 9,3.77169e+06,4.45716e+06,4.02132e+06,3.94082e+06,1.81852e+06,2.57025e+06,
