,Fast Gillespie,Gillespie Direct,Rejection,Anderson Next Reaction,Next Reaction,Sorting Direct,
Time 0,724260,702608,192380,6.33122e+06,4.59943e+06,523622,
Time 1,806740,874472,200210,6.40962e+06,4.76964e+06,638935,
Time 2,845701,906383,203447,6.35235e+06,4.75543e+06,639187,
Time 3,840829,876046,200863,6.38099e+06,5.32612e+06,641524,
Time 4,820693,861992,203836,6.3091e+06,7.57191e+06,636788,
Time 5,845562,897851,200505,6.38742e+06,8.07175e+06,627069,
Time 6,832168,906007,204039,6.40267e+06,8.07163e+06,642570,
Time 7,828236,886264,201473,7.10042e+06,8.05538e+06,638933,
Time 8,828793,894269,203589,7.80803e+06,7.86791e+06,642786,
Time 9,836233,904301,200227,7.78949e+06,7.93561e+06,642402,
